team_code,artifact,local_path,stage_relpath,bytes
M55,source_code,teams/M55_PRIMEX FCoEE/code.zip,M55/source_code.zip,8104990
M55,tdp_pdf_optional,teams/M55_PRIMEX FCoEE/tdp.pdf,M55/tdp_pdf_optional.pdf,1306882
M56,team_photo,teams/M56_Pi-rates/team_photo.jpg,M56/team_photo.jpg,373366
M56,robot_photo,teams/M56_Pi-rates/robot_photo.jpg,M56/robot_photo.jpg,1233514
M56,poster,teams/M56_Pi-rates/poster.pdf,M56/poster.pdf,18445626
M56,video,teams/M56_Pi-rates/video.mp4,M56/video.mp4,491321000
M56,video_thumbnail,teams/M56_Pi-rates/video-thumbnail.png,M56/video_thumbnail.png,30577
M56,bom,teams/M56_Pi-rates/bom.pdf,M56/bom.pdf,112243
M56,source_code,teams/M56_Pi-rates/code.zip,M56/source_code.zip,14781
M56,tdp_pdf_optional,teams/M56_Pi-rates/tdp.pdf,M56/tdp_pdf_optional.pdf,1349893
M57,team_photo,teams/M57_RC UANL/team_photo.jpeg,M57/team_photo.jpeg,1765842
M57,robot_photo,teams/M57_RC UANL/robot_photo.jpeg,M57/robot_photo.jpeg,821885
M57,poster,teams/M57_RC UANL/poster.pdf,M57/poster.pdf,4352298
M57,video,teams/M57_RC UANL/video.mp4,M57/video.mp4,120918642
M57,video_thumbnail,teams/M57_RC UANL/video-thumbnail.png,M57/video_thumbnail.png,382751
M57,bom,teams/M57_RC UANL/bom.pdf,M57/bom.pdf,99656
M57,source_code,teams/M57_RC UANL/code.zip,M57/source_code.zip,19519
M57,tdp_pdf_optional,teams/M57_RC UANL/tdp.pdf,M57/tdp_pdf_optional.pdf,1282125
M58,team_photo,teams/M58_RRR Kabelmüsli/team_photo.png,M58/team_photo.png,782713
M58,robot_photo,teams/M58_RRR Kabelmüsli/robot_photo.jpeg,M58/robot_photo.jpeg,88014
M58,poster,teams/M58_RRR Kabelmüsli/poster.pdf,M58/poster.pdf,4310642
M58,video,teams/M58_RRR Kabelmüsli/video.mp4,M58/video.mp4,313426907
M58,video_thumbnail,teams/M58_RRR Kabelmüsli/video-thumbnail.png,M58/video_thumbnail.png,160340
M58,bom,teams/M58_RRR Kabelmüsli/bom.pdf,M58/bom.pdf,221155
M58,tdp_pdf_optional,teams/M58_RRR Kabelmüsli/tdp.pdf,M58/tdp_pdf_optional.pdf,13407736
M59,team_photo,teams/M59_Rescue Rats/team_photo.jpg,M59/team_photo.jpg,471347
M59,robot_photo,teams/M59_Rescue Rats/robot_photo.jpg,M59/robot_photo.jpg,753224
M59,poster,teams/M59_Rescue Rats/poster.pdf,M59/poster.pdf,3852097
M59,video,teams/M59_Rescue Rats/video.mp4,M59/video.mp4,148902653
M59,video_thumbnail,teams/M59_Rescue Rats/video-thumbnail.png,M59/video_thumbnail.png,263349
M59,bom,teams/M59_Rescue Rats/bom.pdf,M59/bom.pdf,116280
M59,tdp_pdf_optional,teams/M59_Rescue Rats/tdp.pdf,M59/tdp_pdf_optional.pdf,976676
M60,team_photo,teams/M60_Robodanesh/team_photo.png,M60/team_photo.png,4399564
M60,robot_photo,teams/M60_Robodanesh/robot_photo.png,M60/robot_photo.png,320186
M60,poster,teams/M60_Robodanesh/poster.pdf,M60/poster.pdf,10903358
M60,video,teams/M60_Robodanesh/video.mp4,M60/video.mp4,114271202
M60,video_thumbnail,teams/M60_Robodanesh/video-thumbnail.png,M60/video_thumbnail.png,309705
M60,tdp_pdf_optional,teams/M60_Robodanesh/tdp.pdf,M60/tdp_pdf_optional.pdf,2069893
M61,team_photo,teams/M61_SERŠ TEAM/team_photo.jpg,M61/team_photo.jpg,281830
M61,robot_photo,teams/M61_SERŠ TEAM/robot_photo.jpg,M61/robot_photo.jpg,380803
M61,poster,teams/M61_SERŠ TEAM/poster.pdf,M61/poster.pdf,2546192
M61,video,teams/M61_SERŠ TEAM/video.mp4,M61/video.mp4,428496198
M61,video_thumbnail,teams/M61_SERŠ TEAM/video-thumbnail.png,M61/video_thumbnail.png,209417
M61,bom,teams/M61_SERŠ TEAM/bom.pdf,M61/bom.pdf,159966
M62,team_photo,teams/M62_Simple/team_photo.png,M62/team_photo.png,1838829
